Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,Y/Tgt
1,CeeDee Lamb,DAL,24,WR,17,17,181,135,1749,12,9.7
2,Tyreek Hill,MIA,29,WR,16,16,171,119,1799,13,10.5
3,Amon-Ra St. Brown,DET,24,WR,16,16,164,119,1515,10,9.2
4,Michael Pittman Jr.,IND,26,WR,16,15,156,109,1152,4,7.4
5,Keenan Allen,LAC,31,WR,13,13,150,108,1243,7,8.3
6,Stefon Diggs,BUF,30,WR,17,17,160,107,1183,8,7.4
7,A.J. Brown,PHI,26,WR,17,17,158,106,1456,7,9.2
8,Puka Nacua,LAR,22,WR,17,17,160,105,1486,6,9.3
9,Davante Adams,LVR,31,WR,17,17,175,103,1144,8,6.5
10,Adam Thielen,CAR,33,WR,17,17,137,103,1014,4,7.4
11,Ja'Marr Chase,CIN,23,WR,16,16,145,100,1216,7,8.4
12,D.J. Moore,CHI,26,WR,17,17,136,96,1364,8,10
13,Garrett Wilson,NYJ,23,WR,17,17,168,95,1042,3,6.2
14,Chris Olave,NOR,23,WR,16,11,138,87,1123,5,8.1
15,Chris Godwin,TAM,27,WR,17,17,130,83,1024,2,7.9
16,DeVonta Smith,PHI,25,WR,16,16,112,81,1066,7,9.5
17,Nico Collins,HOU,24,WR,15,10,109,80,1297,8,11.9
18,Mike Evans,TAM,30,WR,17,17,136,79,1255,13,9.2
19,Tyler Lockett,SEA,31,WR,17,17,122,79,894,5,7.3
20,Terry McLaurin,WAS,28,WR,17,17,132,79,1002,4,7.6
21,Rashee Rice,KAN,23,WR,16,8,102,79,938,7,9.2
22,Zay Flowers,BAL,23,WR,16,16,108,77,858,5,7.9
23,Calvin Ridley,JAX,29,WR,17,17,136,76,1016,8,7.5
24,Brandon Aiyuk,SFO,25,WR,16,16,105,75,1342,7,12.8
25,DeAndre Hopkins,TEN,31,WR,17,16,137,75,1057,7,7.7
26,Amari Cooper,CLE,29,WR,15,15,128,72,1250,5,9.8
27,Jaylen Waddle,MIA,25,WR,14,14,104,72,1014,4,9.8
28,Jakobi Meyers,LVR,27,WR,16,16,106,71,807,8,7.6
29,Jordan Addison,MIN,21,WR,17,14,108,70,911,10,8.4
30,Drake London,ATL,22,WR,16,16,110,69,905,2,8.2
31,Josh Downs,IND,22,WR,17,9,98,68,771,2,7.9
32,Justin Jefferson,MIN,24,WR,10,9,100,68,1074,5,10.7
33,Tyler Boyd,CIN,29,WR,17,13,98,67,667,2,6.8
34,D.K. Metcalf,SEA,26,WR,16,16,119,66,1114,8,9.4
35,Jayden Reed,GNB,23,WR,16,13,94,64,793,8,8.4
36,George Pickens,PIT,22,WR,17,16,106,63,1140,5,10.8
37,Jaxon Smith-Njigba,SEA,21,WR,17,3,93,63,628,4,6.8
